"last_name","Last Name Count"
"Breugel",161
"Maierhofer",199
"Spinelli",189
"Birrer",180
"DasSarma",185
"Ariola",182
"Cronau",181
"Liedekerke",186
"Panangaden",205
"Naudin",183
"Yeung",187
"Figueira",178
"Fargier",200
"Muniz",172
"Kambil",191
"Irland",194
"Hiraishi",194
"Jonsson",197
"Camurati",195
"Fendler",175
"Mandell",218
"Bruckman",191
"Niizuma",163
"Manders",195
"Guardalben",148
"Angelov",174
"Leijenhorst",163
"Cichocki",165
"Matteis",175
"Iacovou",186
"Thimonier",192
"Katzenelson",188
"Salvesen",194
"Staudhammer",181
"Krybus",201
"Manderick",189
"Menhardt",183
"Waterhouse",183
"Bain",186
"Mamelak",162
"Zeleznik",177
"Greibach",176
"McClurg",200
"Docker",194
"Rosti",155
"Benveniste",178
"Lupu",179
"Delgrossi",188
"Rosin",195
"Pettit",182
"Solares",216
"Erol",180
"Kitsuregawa",211
"Butterworth",168
"Hanabata",189
"Adachi",221
"Nastansky",185
"Axelband",155
"Heystek",200
"McAlpine",172
"Onuegbe",205
"Dayana",163
"Rijsenbrij",169
"Wielonsky",160
"Covnot",180
"Veccia",164
"Marwedel",166
"DuCasse",177
"Wissmann",175
"Ushiama",182
"Kaltofen",184
"Sidje",163
"Ebeling",169
"Benzaken",165
"Gischer",165
"Mahnke",216
"Krider",158
"Minakawa",169
"Langford",195
"Michaels",199
"Cromarty",167
"Stemann",162
"Zlotek",182
"Sinitsyn",178
"Narwekar",188
"Cronan",181
"Domenig",200
"Ruemmler",177
"Sethi",186
"Gyorkos",168
"DeMori",205
"Nitsche",177
"Soicher",202
"Birke",182
"Valiente",175
"Pokrovskii",214
"Schoegge",174
"Haddadi",191
"Mundy",162
"Comyn",171
"Anguita",161
"Gils",189
"Guerreiro",163
"Chenney",209
"Ramamoorthy",179
"Slaats",163
"Schiper",198
"Rosaz",214
"Munoz",183
"Beeson",172
"Tsunoo",175
"Kaelbling",200
"Bridgland",187
"Chepyzhov",196
"Mansanne",183
"Verhaegen",182
"Falck",176
"Attimonelli",178
"Peternell",173
"Perez",201
"Karcich",197
"Herbst",203
"Perry",188
"Butner",193
"Olivero",176
"Perfilyeva",189
"Marakhovsky",205
"Chinal",175
"Bade",172
"Ghandeharizadeh",203
"Tibblin",160
"Rosis",193
"Baalen",180
"Kandlur",166
"Menhoudj",192
"Braunmuhl",206
"Strandh",190
"Bernardeschi",201
"Haldar",183
"Jervis",190
"Conta",203
"Angelopoulos",207
"Narahara",185
"Gimarc",173
"Streit",168
"Lubachevsky",202
"Zirintsis",188
"Zallocco",198
"Plessier",191
"Dahlbom",181
"Koshino",186
"Plotkin",171
"Mattern",180
"Otillio",200
"Lieblein",179
"Beilner",179
"Siksek",213
"Rahimi",189
"Weisert",197
"Oskamp",174
"Kalloufi",195
"Socorro",167
"Kisuki",192
"Schurmann",175
"Rosca",184
"Iisaku",175
"Shihab",187
"Skrikant",175
"Zhiwei",177
"Facello",186
"Slutz",161
"Czap",190
"Suri",190
"Fordan",174
"Parhami",189
"Bodoff",191
"Kropatsch",175
"Stellhorn",180
"Henders",183
"Zumaque",195
"Bonifati",189
"Shackel",189
"Plavsic",185
"Matzke",177
"Rando",177
"Giveon",186
"Farrow",166
"Straney",183
"Orlowska",173
"Sooriamurthi",185
"Lortz",182
"Chvatal",193
"Beausoleil",175
"Isaac",184
"Uchoa",177
"Lundstrom",186
"Rebaine",178
"Dratva",184
"Foote",206
"Awdeh",187
"Demir",178
"Gire",167
"Bahk",192
"Motley",179
"Cools",195
"Feldmann",184
"Schnabel",160
"Prenel",179
"Bottner",183
"Zaccaria",189
"Melton",193
"Rettelbach",183
"Journel",169
"Azumi",191
"Speel",192
"Erie",180
"Heemskerk",184
"Weedon",184
"Welham",184
"Gerlach",209
"Kuzuoka",181
"Oxenboll",183
"Perng",206
"Piazza",170
"Halloran",176
"Klyachko",179
"Rohrbach",182
"Ernst",178
"Zongker",192
"Riexinger",204
"Calkin",160
"Beznosov",187
"Maliniak",192
"Kroll",182
"Reeker",164
"Czaja",177
"Paludetto",183
"Honglei",184
"Demke",175
"Shigei",153
"Malinowski",204
"Sadowski",196
"Billawala",189
"Willoner",185
"Kalafatis",180
"Luke",176
"Fabrizio",180
"Penttonen",203
"Osgood",220
"Swick",204
"Massonet",184
"Junot",169
"Brookner",199
"Kalefeld",172
"Khasidashvili",209
"Lanphier",205
"Cronin",180
"Terekhov",185
"Krupka",177
"Stranks",166
"Bellone",183
"Hutton",192
"Rotem",172
"Merks",199
"Remmele",194
"Kavraki",182
"Pleszkun",176
"Ermel",195
"Uhrig",181
"Monkewich",177
"Merlo",177
"Giaccio",181
"Harnett",170
"Perin",165
"Schaar",194
"Kowalchuk",180
"Leivant",187
"Danlos",185
"Peroz",181
"Hiltgen",187
"Begiun",188
"Anger",190
"Hiroyama",200
"Kaminger",191
"Kushnir",168
"Jansch",160
"Rodite",183
"Maccarone",169
"Linnainmaa",193
"Garnick",188
"Masada",218
"Velardi",163
"Sluis",170
"Berztiss",179
"Hemaspaandra",170
"Pagter",179
"Brandsma",191
"Kruskal",173
"Shanbhogue",194
"Rattan",166
"Bharadwaj",160
"Rathonyi",178
"Dayang",181
"Merkl",190
"Prochazka",180
"Esteva",164
"Bahi",180
"Boyle",197
"Rijckaert",186
"Randt",183
"Stille",165
"DiGiano",177
"Ponthieu",205
"Thiran",191
"Rissanen",180
"Fetvedt",181
"Erva",156
"Rothe",183
"Antonisse",196
"Kabayashi",153
"Murtagh",175
"Eiter",192
"Atrawala",175
"Muntz",195
"Jenevein",208
"Pocchiola",200
"Matzel",163
"Georgakopoulos",163
"Swift",195
"Yavatkar",169
"Heyers",192
"Andreotta",165
"Raney",183
"Maginnis",169
"Zedlitz",163
"Milicic",187
"Bamford",178
"Sgarro",200
"Vakili",180
"Staelin",170
"Vernadat",198
"Thiria",177
"Baba",226
"Cooman",180
"Baez",182
"Hmelo",159
"Grandbois",182
"Ohori",197
"Ballarin",180
"McAffer",180
"Coorg",223
"Mahmud",181
"Peron",191
"Rodier",184
"Peek",212
"Tempesti",161
"Krychniak",179
"Haraldson",190
"Rosiles",192
"Grabner",168
"Blokdijk",165
"Melter",173
"Cannard",186
"Lorin",190
"Makinen",180
"Walston",185
"Gajiwala",196
"Monarch",196
"Miyakawa",176
"Itzigehl",200
"Lamma",200
"Schwabacher",181
"Luks",164
"Billingsley",187
"Knightly",177
"Kushner",191
"Randi",192
"Yamaashi",168
"Nilsson",160
"Detkin",178
"Gerteisen",185
"Comte",173
"Shumilov",200
"Strehl",187
"Frijda",171
"Rabehasaina",212
"Kakkar",196
"Ashish",190
"Pews",202
"Msuda",182
"Narlikar",184
"Lorcy",184
"Smeets",181
"Raoux",160
"Belinskaya",187
"Bashian",181
"Hennings",174
"Gecseg",179
"Bazzichi",188
"Poupard",198
"Petersohn",189
"Tsukuda",185
"Bala",189
"Mitsuhashi",159
"Hedayat",186
"Imataki",200
"Erbe",186
"Ginesta",164
"Lieberherr",176
"Sherertz",180
"Gini",173
"Kusalik",187
"Erez",194
"Tanemo",175
"Heering",188
"Miculan",159
"Foong",179
"Gluchowski",182
"Pehl",192
"Kenevan",171
"Hockney",179
"Pargas",189
"Babu",184
"Schwartzburd",185
"Luff",183
"Koprowski",158
"Cooley",175
"Usdin",163
"Cullers",176
"Bernardinello",156
"Oxman",174
"Savasere",181
"Matzen",198
"Kolinko",179
"Perri",177
"Erdi",201
"Erev",166
"Juneja",194
"Ghalwash",185
"Luca",197
"Farrar",189
"Hofmeyr",183
"Provine",151
"Cheshire",183
"Samarati",178
"Nitto",159
"Veevers",185
"Panienski",208
"Thorelli",152
"Syang",196
"Ferriere",169
"Luan",188
"McConalogue",201
"Narahari",166
"Perna",173
"Stanger",198
"Dulay",189
"Denti",188
"Raczkowsky",182
"Serra",209
"Schieder",185
"Sidhu",180
"Alameldin",195
"McFarlin",198
"Plump",189
"Honiden",175
"Delgrande",188
"Fiutem",174
"Litvinov",184
"Feinberg",203
"Kobara",194
"Valtorta",185
"Levergood",161
"Schnelling",165
"Picel",195
"Lakshmanan",168
"Veeraraghavan",183
"Dulli",151
"Worfolk",193
"Auria",182
"Marciano",165
"Birdsall",183
"Garnham",205
"Collavizza",167
"Poehlman",182
"Karunanithi",184
"Schreiter",200
"Janetzko",172
"Demeyer",166
"Linares",204
"DuBourdieux",180
"Famili",187
"Stenning",183
"Denis",165
"Lorys",189
"Oberman",188
"Furedi",191
"Rossi",176
"Brodal",184
"Brickell",178
"Heusch",181
"Sigstam",175
"Leonhardt",173
"Braccini",197
"Gips",167
"Colorni",193
"Serdy",167
"Steenbeek",190
"Merel",197
"Doering",203
"Couchot",162
"Malabarba",209
"Cincotta",180
"Uehara",189
"Azuma",174
"Baby",197
"Etalle",174
"Suwa",165
"Wrigley",195
"Shackell",169
"Driscoll",210
"Pouyioutas",177
"Apsitis",192
"Sewelson",178
"Sambasivam",174
"Veldwijk",174
"Crelier",193
"Aingworth",172
"Pero",164
"Servieres",199
"Spell",170
"Ranst",153
"Brlek",178
"Syrzycki",174
"Snedden",200
"Mersereau",172
"Baaleh",162
"Rissland",188
"Pelc",201
"Moehrke",164
"Slobodova",199
"Ullian",176
"Munawer",199
"Khamsi",198
"Selvestrel",191
"Ventosa",211
"Pearson",159
"Shrader",204
"Perly",189
"Kopetz",161
"Ranon",181
"Burnard",167
"Hambrick",184
"Itzfeldt",190
"Back",182
"Uhrik",182
"Gewali",209
"Barvinok",185
"Curless",199
"Guting",197
"Beutelspacher",180
"Farrag",179
"Baaz",192
"Lamba",207
"Zockler",173
"Flowers",209
"Spelt",197
"Peral",177
"Katalagarianos",179
"Wiegley",167
"Cyre",175
"Kampfer",197
"Vrecion",172
"Barbanera",192
"Marletta",170
"Kalorkoti",201
"Schahn",176
"Hegner",164
"Barriga",211
"Valette",189
"Bennis",180
"Quaggetto",173
"Werthner",179
"Vasanthakumar",183
"Eiron",187
"Masaki",184
"Nivat",162
"Hasenauer",176
"Murtafg",178
"Paciorek",185
"Peir",186
"Bach",191
"Azevdeo",166
"Beetstra",200
"Tsukune",180
"Karnin",202
"Rusmann",173
"Falby",178
"Perl",183
"Bolotov",188
"Puppe",179
"Zyda",181
"Skogmar",163
"Hertweck",193
"Baig",162
"Auyong",200
"Eldridge",174
"Baezner",190
"Biros",173
"Fontan",192
"Wilfing",179
"Codenie",184
"Speek",200
"Emmart",215
"Gente",211
"Genther",201
"Fandrianto",172
"Tzvieli",174
"Cyne",181
"Rouquie",201
"Marchegay",173
"Schrooten",170
"Bage",174
"Quadeer",196
"Marrakchi",195
"Gecsel",174
"Polupanov",156
"Kroon",160
"Papastamatiou",175
"Pettis",216
"Kugler",176
"Kusakabe",194
"Alencar",170
"Fujisawa",181
"Bellmore",189
